Price	Product_descriptions
165.36	Lenovo 3 22IMB05 ALL-IN-ONE Pentium® Gold G6400T 1TB 4GB 21.5" (1920x1080) WIN10 BLACK Keyboard Mouse
123.76	Lenovo ThinkCentre M70q Tiny Pentium® Gold G5400T 500GB 4GB WIN10 Keyboard Mouse BLACK
4.16	Lenovo 40A10090US ThinkPad Pro Dock port replicator
404.56	Lenovo 5 14IMB05 TOWER Core™ i7-10700 1TB 12GB DVD-RW WIN10 MINERAL GRAY Keyboard Mouse
321.36	Lenovo S540-14IWL Core™ i7-8565U 512GB SSD 12GB 14" (1920x1080) TOUCHSCREEN WIN10 NVIDIA® MX250 2048MB MINERAL GRAY Backlit Keyboard FP Reader
128.96	Lenovo Chromebook 500e 2-IN-1 Celeron® Quad-Core N3450 32GB eMMC 4GB 11.6" (1366x768) TOUCHSCREEN CHROME OS BLACK
446.16	Lenovo ThinkCentre M70s SFF Core™ i7-10700T 2.0GHz 500GB 4GB WIN10 Pro Keyboard Mouse
477.36	Lenovo LEGION T5 28IMB05 GAMING Core™ i5-10400 1TB+256GB SSD 16GB WIN10 NVIDIA® GTX 1660 SUPER 6144MB Keyboard Mouse BLACK
290.16	Lenovo 5 14IMB05 TOWER Core™ i5-10400 1TB+256GB SSD 12GB DVD-RW WIN10 Pro GRAY Keyboard Mouse
154.96	Lenovo 510A-15ICB Core™ i5-9400 1TB 8GB DVD-RW WIN10 IRON GREY Keyboard Mouse
290.16	Lenovo 5 14IMB05 TOWER Core™ i5-10400 1TB 8GB DVD-RW WIN10 MINERAL GRAY Keyboard Mouse
165.36	Lenovo 3 22ADA05 ALL-IN-ONE AMD Athlon™ Silver 3050U 1TB 4GB 21.3" (1920x1080) TOUCHSCREEN WIN10 BLACK Keyboard Mouse
414.96	Lenovo LEGION T5 28IMB05 GAMING Core™ i5-10400 1TB+256GB SSD 16GB WIN10 NVIDIA® GTX 1660 SUPER 6144MB Keyboard Mouse BLACK
373.36	Lenovo LEGION T5 28IMB05 GAMING Core™ i5-10400F 1TB+256GB SSD 16GB WIN10 NVIDIA® GTX 1660 6144MB Keyboard Mouse BLACK
1402.96	Lenovo ThinkStation P620 TOWER WORKSTATION AMD Ryzen™ Threadripper™ PRO 3955WX 1TB SSD 32GB DVD-RW WIN10 Pro NVIDIA® RTX 4000 8192MB BLACK Keyboard Mouse
175.76	Lenovo ThinkCentre M75q Gen 2 Tiny AMD Ryzen™ 3 PRO 4350GE 500GB 4GB WIN10 Pro Keyboard Mouse BLACK
331.76	Lenovo ThinkCentre M90q Tiny Core™ i5-10500 256GB SSD 8GB WIN10 Pro BLACK Keyboard Mouse
518.96	Lenovo ThinkStation P340 TOWER WORKSTATION Core™ i7-10700K 512GB SSD 16GB WIN10 Pro Keyboard Mouse BLACK
154.96	Lenovo Duet 3 10IGL5 Pentium® Silver N5030 128GB SSD 8GB 10.3" WUXGA (1920x1200) TOUCHSCREEN WIN10 S GRAPHITE GRAY Backlit Keyboard
97.76	Lenovo L27m-28 27" (1920x1080) LED Backlit LCD USB Type-C Monitor
186.16	Lenovo 3 22IMB05 ALL-IN-ONE Pentium® Gold G6400T 1TB 4GB 21.5" (1920x1080) TOUCHSCREEN WIN10 BLACK Keyboard Mouse
414.96	Lenovo LEGION T5 28IMB05 GAMING Core™ i5-10400F 1TB+256GB SSD 16GB WIN10 NVIDIA® GTX 1660 6144MB Keyboard Mouse BLACK
394.16	Lenovo ThinkStation P340 SFF WORKSTATION Core™ i5-10500 512GB SSD 16GB WIN10 Pro Keyboard Mouse BLACK
290.16	Lenovo ThinkCentre M70c SFF Core™ i5-10400 1TB 8GB DVD-RW WIN10 Pro Keyboard Mouse BLACK
1215.76	Lenovo ThinkStation P620 TOWER WORKSTATION AMD Ryzen™ Threadripper™ PRO 3945WX 512GB SSD 32GB DVD-RW WIN10 Pro NVIDIA® Quadro P2200 5120MB BLACK Keyboard Mouse
300.56	Lenovo 3 15IML05 Core™ i5-10210U 512GB SSD 12GB 15.6" (1366x768) TOUCHSCREEN WIN10 ABYSS BLUE
175.76	Lenovo 3 22IMB05 ALL-IN-ONE Pentium® Gold G6400T 1TB 4GB 21.5" (1920x1080) WIN10 BLACK Keyboard Mouse
310.96	Lenovo ThinkCentre M70s SFF Core™ i5-10400 1TB 8GB WIN10 Pro BLACK Keyboard Mouse
674.96	Lenovo ThinkStation P340 SFF WORKSTATION Core™ i9-10900 1TB SSD 32GB DVD-RW WIN10 Pro Keyboard Mouse BLACK
321.36	Lenovo ThinkCentre M70a ALL-IN-ONE Core™ i3-10100 128GB SSD 8GB 21.5" (1920x1080) DVD-RW WIN10 Pro BLACK
102.96	Lenovo D27-30 27" (1920x1080) FreeSync VA Monitor
154.96	Lenovo GAMING G27-20 27" (1920x1080) 144Hz IPS LED FHD G-SYNC Compatible FreeSync Monitor Height Adjustable BLACK
217.36	Lenovo ThinkVision T27hv-20 27" QHD (2560x1440) VoIP Monitor
498.16	Lenovo 5 15ITL05 Core™ i7-1165G7 512GB SSD 12GB 15.6" (1920x1080) TOUCHSCREEN WIN11 ABYSS BLUE Backlit Keyboard FP Reader
518.96	Lenovo ThinkCentre M90q Tiny Gen 2 Core™ i7-11700T 512GB SSD 16GB WIN10 Pro BLACK Keyboard Mouse
435.76	Lenovo ThinkStation P520c TOWER WORKSTATION Xeon® W-2233 512GB SSD 16GB DVD-RW WIN10 Pro Keyboard Mouse BLACK
789.36	Lenovo ThinkStation P350 SFF WORKSTATION Core™ i9-11900 1TB SSD 32GB WIN10 Pro NVIDIA® Quadro T1000 4096MB Keyboard Mouse BLACK
56.16	Lenovo C2G USB C Dock with HDMI, DisplayPort, VGA & Power Delivery up to 60W - docking station - USB-C - VGA, HDMI, DP
643.76	Lenovo ThinkStation P520 TOWER WORKSTATION Xeon® W-2135 1TB SSD 64GB DVD-RW WIN10 Pro Keyboard Mouse BLACK
269.36	Lenovo 5 01IMH05 MINI Core™ i5-10400T 1TB+128GB SSD 12GB WIN10 Pro MINERAL GRAY
622.96	Lenovo FLEX 5 15ITL05 2-IN-1 Core™ i7-1165G7 1TB SSD 16GB 15.6" UHD (3840x2160) IPS TOUCHSCREEN WIN11 Pro NVIDIA® MX450 2048MB GRAPHITE GREY Backlit Keyboard FP Reader
591.76	Lenovo 5 27IMB05 ALL-IN-ONE Core™ i7-10700T 512GB SSD 16GB 27" (2560x1440) TOUCHSCREEN WIN11 MINERAL GRAY Keyboard Mouse
373.36	Lenovo 5 15ITL05 Core™ i7-1165G7 512GB SSD 12GB 15.6" (1920x1080) TOUCHSCREEN WIN11 ABYSS BLUE Backlit Keyboard FP Reader
